"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2020","230,100","254,100","254,600","222,600","44.97K","-9.45%"
"05/09/2020","254,100","255,900","258,500","251,900","11.51K","-0.63%"
"05/08/2020","255,700","255,000","262,000","251,700","21.69K","0.31%"
"05/07/2020","254,900","244,900","259,000","243,100","40.20K","3.79%"
"05/06/2020","245,600","249,600","255,400","244,800","29.68K","-1.68%"
"05/05/2020","249,800","252,400","256,200","246,400","22.71K","-1.19%"
"05/04/2020","252,800","256,800","258,300","238,800","17.12K","-1.63%"
"05/03/2020","257,000","259,500","265,000","252,000","16.04K","-0.96%"
"05/02/2020","259,500","258,500","261,100","255,500","16.66K","0.27%"
"05/01/2020","258,800","250,100","264,700","249,800","17.75K","3.48%"
"04/30/2020","250,100","258,500","274,300","243,400","33.86K","-3.21%"
"04/29/2020","258,400","238,800","260,000","238,800","44.31K","8.16%"
"04/28/2020","238,900","239,600","240,000","234,800","11.58K","-0.33%"
"04/27/2020","239,700","240,300","242,300","232,100","19.60K","-0.21%"
"04/26/2020","240,200","236,300","242,100","234,400","25.15K","1.65%"
"04/25/2020","236,300","227,500","238,500","226,100","18.35K","3.91%"
"04/24/2020","227,400","224,500","230,300","224,100","12.52K","1.29%"
"04/23/2020","224,500","221,300","230,000","217,300","51.37K","1.35%"
"04/22/2020","221,500","209,800","222,800","209,000","28.74K","5.58%"
"04/21/2020","209,800","209,000","214,000","206,500","18.40K","0.38%"
"04/20/2020","209,000","218,900","225,000","206,400","72.38K","-4.61%"
"04/19/2020","219,100","225,500","226,600","214,600","27.45K","-2.80%"
"04/18/2020","225,400","206,900","227,800","206,700","55.16K","8.94%"
"04/17/2020","206,900","207,600","210,500","203,500","20.33K","-0.29%"
"04/16/2020","207,500","186,900","209,900","181,500","33.70K","10.84%"
"04/15/2020","187,200","193,100","195,800","187,000","20.34K","-3.11%"
"04/14/2020","193,200","191,500","196,500","190,100","18.45K","0.84%"
"04/13/2020","191,600","194,200","194,600","186,100","23.19K","-1.54%"
"04/12/2020","194,600","194,800","201,200","190,900","39.84K","-0.21%"
"04/11/2020","195,000","193,500","198,200","189,700","17.19K","0.67%"
"04/10/2020","193,700","205,100","206,000","186,100","41.97K","-5.60%"
"04/09/2020","205,200","207,700","208,900","200,600","22.30K","-1.20%"
"04/08/2020","207,700","197,900","209,300","196,700","22.89K","4.90%"
"04/07/2020","198,000","205,800","211,500","195,600","67.67K","-3.74%"
"04/06/2020","205,700","172,600","206,300","172,600","90.97K","19.25%"
"04/05/2020","172,500","173,300","174,700","170,700","10.34K","-0.40%"
"04/04/2020","173,200","170,900","174,600","169,000","22.04K","1.29%"
"04/03/2020","171,000","169,900","175,600","168,000","16.21K","0.65%"
"04/02/2020","169,900","164,600","175,600","164,200","83.64K","3.22%"
"04/01/2020","164,600","161,500","165,500","158,200","27.56K","1.92%"
"03/31/2020","161,500","160,800","164,100","158,700","16.13K","0.44%"
"03/30/2020","160,800","152,900","164,400","152,700","28.79K","5.03%"
"03/29/2020","153,100","160,800","161,600","152,900","29.95K","-4.73%"
"03/28/2020","160,700","162,300","162,800","152,500","26.56K","-1.11%"
"03/27/2020","162,500","170,000","172,500","161,100","32.15K","-4.36%"
"03/26/2020","169,900","169,100","171,300","165,000","28.86K","0.83%"
"03/25/2020","168,500","171,800","175,500","166,300","18.27K","-1.92%"
"03/24/2020","171,800","169,200","175,000","164,000","36.76K","1.54%"
"03/23/2020","169,200","155,000","170,100","152,100","40.11K","9.02%"
"03/22/2020","155,200","166,000","170,400","154,600","48.77K","-6.39%"
"03/21/2020","165,800","167,500","174,300","158,900","37.36K","-1.01%"
"03/20/2020","167,500","169,900","190,500","152,200","162.49K","-1.30%"
"03/19/2020","169,700","147,600","180,400","145,200","174.51K","14.82%"
"03/18/2020","147,800","147,600","150,100","139,700","33.25K","0.14%"
"03/17/2020","147,600","140,800","152,200","139,300","34.66K","4.83%"
"03/16/2020","140,800","159,200","160,500","136,600","92.58K","-11.67%"
